league,club_canonical,club_aliases,wikimedia_logo_filename,formation_2024_25,primary_color_hex
Bundesliga,Dortmund,Borussia Dortmund|BVB,Borussia_Dortmund_logo.svg,4-2-3-1,#FDE100
Bundesliga,Eint Frankfurt,Eintracht Frankfurt,Eintracht_Frankfurt_Logo.svg,3-4-2-1,#E1000F
Bundesliga,Freiburg,SC Freiburg,SC_Freiburg_logo.svg,4-2-3-1,#5B5B5F
Bundesliga,Gladbach,Borussia Mönchengladbach|Borussia Monchengladbach,Borussia_Mönchengladbach_logo.svg,4-2-3-1,#000000
Bundesliga,Heidenheim,1. FC Heidenheim|FC Heidenheim,1._FC_Heidenheim_1846.svg,4-4-2,#E2001A
Bundesliga,Hoffenheim,TSG 1899 Hoffenheim|TSG Hoffenheim,Logo_TSG_Hoffenheim.svg,3-4-2-1,#1961AC
Bundesliga,Holstein Kiel,KSV Holstein|Holstein Kiel KSV,Holstein_Kiel_Logo.svg,4-2-3-1,#0F4FA1
Bundesliga,Leverkusen,Bayer 04 Leverkusen|Bayer Leverkusen,Bayer_04_Leverkusen_logo.svg,3-4-2-1,#E32221
Bundesliga,Mainz 05,1. FSV Mainz 05|Mainz,1._FSV_Mainz_05_logo.svg,4-2-3-1,#C3141E
Bundesliga,RB Leipzig,RasenBallsport Leipzig|Leipzig,RB_Leipzig_2014_logo.svg,4-2-3-1,#DD0741
Bundesliga,St. Pauli,FC St. Pauli|FC Sankt Pauli,FC_St._Pauli_logo_(2018).svg,3-4-2-1,#80471C
Bundesliga,Stuttgart,VfB Stuttgart,VfB_Stuttgart_1893_Logo.svg,4-2-3-1,#E32219
Bundesliga,Union Berlin,1. FC Union Berlin,1._FC_Union_Berlin.svg,3-5-2,#EB1923
Bundesliga,Werder Bremen,SV Werder Bremen,SV-Werder-Bremen-Logo.svg,4-3-3,#1D9053
Bundesliga,Wolfsburg,VfL Wolfsburg,Logo-VfL-Wolfsburg.svg,4-2-3-1,#65B32E
Serie A,Atalanta,Atalanta BC|Atalanta Bergamasca Calcio,Logo_Atalanta_2024.svg,3-4-2-1,#1F3A93
Serie A,Bologna,Bologna FC|Bologna 1909,Bologna_F.C._1909_logo.svg,4-2-3-1,#A11930
Serie A,Cagliari,Cagliari Calcio,Cagliari_Calcio_1920.svg,4-3-3,#A52440
Serie A,Como,Como 1907|Como FC,Logo_Como_1907.svg,4-2-3-1,#1063AB
Serie A,Empoli,Empoli FC,Empoli_FC_logo.svg,4-3-3,#0067B1
Serie A,Fiorentina,ACF Fiorentina,ACF_Fiorentina_2.svg,4-2-3-1,#592C82
Serie A,Genoa,Genoa CFC|Genoa Cricket and Football Club,Genoa_CFC_logo.svg,4-3-3,#C8102E
Serie A,Hellas Verona,Hellas Verona FC|Verona,Hellas_Verona_FC_logo_(2020).svg,3-4-2-1,#FFE100
Serie A,Inter,Inter Milan|FC Internazionale|Internazionale,FC_Internazionale_Milano_2021.svg,3-5-2,#0068A8
Serie A,Juventus,Juventus FC|Juve,Juventus_FC_2017_icon_(black).svg,4-2-3-1,#000000
Serie A,Lazio,SS Lazio|Società Sportiva Lazio,S.S._Lazio_badge.svg,4-3-3,#87CEEB
Serie A,Lecce,US Lecce|Unione Sportiva Lecce,US_Lecce_logo.svg,4-3-3,#FFCC00
Serie A,Milan,AC Milan|Associazione Calcio Milan,Logo_of_AC_Milan.svg,4-2-3-1,#FB090B
Serie A,Monza,AC Monza,Stemma_AC_Monza_2021.svg,3-4-2-1,#E2001A
Serie A,Napoli,SSC Napoli|Società Sportiva Calcio Napoli,SSC_Neapel.svg,4-3-3,#12A0D7
Serie A,Parma,Parma Calcio 1913|Parma Calcio,Parma_Calcio_1913_logo.svg,4-3-3,#FFD500
Serie A,Roma,AS Roma|Associazione Sportiva Roma,AS_Roma_logo_(2017).svg,4-3-3,#8E1F2F
Serie A,Torino,Torino FC|Toro,Torino_FC_Logo.svg,3-5-2,#8B0000
Serie A,Udinese,Udinese Calcio,Udinese_Calcio_logo.svg,3-5-2,#000000
Serie A,Venezia,Venezia FC|Venezia,Venezia_FC_logo_(2015).svg,3-4-2-1,#FF8C00
Ligue 1,Angers,Angers SCO|SCO Angers,Angers_SCO_logo_2021.svg,4-3-3,#000000
Ligue 1,Auxerre,AJ Auxerre|Auxerre,AJ_Auxerre.svg,4-2-3-1,#0F2D6F
Ligue 1,Brest,Stade Brestois 29|Stade Brestois,Stade_Brestois_29_logo.svg,4-3-3,#D40028
Ligue 1,Le Havre,Le Havre AC|Havre AC,Le_Havre_AC_logo.svg,4-3-3,#0073C2
Ligue 1,Lens,RC Lens|Racing Club de Lens,RC_Lens_logo.svg,3-4-2-1,#FFD700
Ligue 1,Lille,LOSC Lille|Lille OSC,Logo_LOSC_Lille_2018.svg,4-2-3-1,#E01A22
Ligue 1,Lyon,Olympique Lyonnais|OL,Olympique_Lyonnais.svg,4-3-3,#E40012
Ligue 1,Marseille,Olympique de Marseille|OM,Olympique_Marseille_logo.svg,4-3-3,#009DDC
Ligue 1,Monaco,AS Monaco|AS Monaco FC,AS_Monaco_FC.svg,4-3-3,#E30613
Ligue 1,Montpellier,Montpellier HSC|Montpellier Hérault,Montpellier_HSC_(logo).svg,4-2-3-1,#0066CC
Ligue 1,Nantes,FC Nantes,FC_Nantes_logo.svg,4-2-3-1,#FFCD00
Ligue 1,Nice,OGC Nice|OGCN,OGC_Nice_logo.svg,4-3-3,#E20613
Ligue 1,Paris S-G,Paris Saint-Germain|PSG|Paris SG,Paris_Saint-Germain_F.C..svg,4-3-3,#004170
Ligue 1,Reims,Stade de Reims|Reims,Stade_de_Reims_logo.svg,4-3-3,#E30613
Ligue 1,Rennes,Stade Rennais FC|Stade Rennais,Stade_Rennais_FC.svg,4-3-3,#E2001A
Ligue 1,Saint-Étienne,AS Saint-Étienne|ASSE|Saint Etienne|St Etienne,AS_Saint-Étienne_logo.svg,4-2-3-1,#009A44
Ligue 1,Strasbourg,RC Strasbourg|Racing Club de Strasbourg,Racing_Club_de_Strasbourg_Alsace_logo.svg,4-2-3-1,#0066B3
Ligue 1,Toulouse,Toulouse FC|TFC,Logo_Toulouse_FC_-_2018.svg,4-3-3,#582C83
