league,club_canonical,club_aliases,wikimedia_logo_filename,formation_2024_25,primary_color_hex
PL,Arsenal,Arsenal FC|Arsenal F.C.,Arsenal_FC.svg,4-3-3,#EF0107
PL,Aston Villa,Aston Villa FC,Aston_Villa_FC_new_crest.svg,4-2-3-1,#670E36
PL,Bournemouth,AFC Bournemouth,AFC_Bournemouth_(2013).svg,4-2-3-1,#DA291C
PL,Brentford,Brentford FC,Brentford_FC_crest.svg,4-3-3,#E30613
PL,Brighton,Brighton & Hove Albion|Brighton FC,Brighton_%26_Hove_Albion_logo.svg,4-2-3-1,#0057B8
PL,Chelsea,Chelsea FC,Chelsea_FC.svg,4-2-3-1,#034694
PL,Crystal Palace,Crystal Palace FC,Crystal_Palace_FC_logo_(2022).svg,3-4-2-1,#1B458F
PL,Everton,Everton FC,Everton_FC_logo.svg,4-2-3-1,#003399
PL,Fulham,Fulham FC,Fulham_FC_(shield).svg,4-2-3-1,#FFFFFF
PL,Ipswich Town,Ipswich Town FC,Ipswich_Town.svg,4-2-3-1,#003F87
PL,Leicester City,Leicester City FC,Leicester_City_crest.svg,4-2-3-1,#003090
PL,Liverpool,Liverpool FC|LFC,Liverpool_FC.svg,4-3-3,#C8102E
PL,Manchester City,Man City|Manchester City FC,Manchester_City_FC_badge.svg,4-2-3-1,#6CABDD
PL,Manchester Utd,Manchester United|Man Utd|Man United,Manchester_United_FC_crest.svg,3-4-2-1,#DA291C
PL,Newcastle Utd,Newcastle United|Newcastle Utd FC,Newcastle_United_Logo.svg,4-3-3,#241F20
PL,Nott'ham Forest,Nottingham Forest|Nott'm Forest,Nottingham_Forest_logo.svg,4-2-3-1,#DD0000
PL,Southampton,Southampton FC,FC_Southampton.svg,4-2-3-1,#D71920
PL,Tottenham,Tottenham Hotspur|Spurs,Tottenham_Hotspur.svg,4-2-3-1,#132257
PL,West Ham,West Ham United|West Ham United FC,West_Ham_United_FC_logo.svg,4-2-3-1,#7A263A
PL,Wolves,Wolverhampton Wanderers|Wolverhampton,Wolverhampton_Wanderers.svg,3-4-2-1,#FDB913
La Liga,Alavés,Deportivo Alavés|Alaves,Deportivo_Alaves_logo_(2020).svg,4-4-2,#0072B7
La Liga,Athletic Club,Athletic Bilbao|Athletic Club Bilbao,Club_Athletic_Bilbao_logo.svg,4-2-3-1,#EE2523
La Liga,Atlético Madrid,Atletico Madrid|Atlético de Madrid|Atleti,Atletico_Madrid_2024_logo.svg,4-4-2,#CE3524
La Liga,Barcelona,FC Barcelona|Barça|Barca,FC_Barcelona_(crest).svg,4-3-3,#A50044
La Liga,Betis,Real Betis|Real Betis Balompié,Real_betis_logo.svg,4-2-3-1,#00954C
La Liga,Celta Vigo,RC Celta de Vigo|Celta de Vigo,RC_Celta_de_Vigo_logo.svg,4-2-3-1,#8AC3EE
La Liga,Espanyol,RCD Espanyol|RCD Espanyol de Barcelona,RCD_Espanyol_2024_logo.svg,4-4-2,#0072CE
La Liga,Getafe,Getafe CF,Getafe_CF_logo.svg,4-4-2,#003876
La Liga,Girona,Girona FC,Girona_FC_logo.svg,4-3-3,#CD2534
La Liga,Las Palmas,UD Las Palmas,UD_Las_Palmas_logo.svg,4-3-3,#FFE600
La Liga,Leganés,CD Leganés|Leganes,CD_Leganes_logo.svg,4-2-3-1,#005BAC
La Liga,Mallorca,RCD Mallorca,Rcd_mallorca.svg,4-4-2,#E20613
La Liga,Osasuna,CA Osasuna,CA_Osasuna_2024_logo.svg,4-3-3,#D91A21
La Liga,Rayo Vallecano,Rayo Vallecano de Madrid,Rayo_Vallecano_logo.svg,4-2-3-1,#E53027
La Liga,Real Madrid,Real Madrid CF|Real Madrid C.F.,Real_Madrid_CF.svg,4-3-3,#FEBE10
La Liga,Real Sociedad,Real Sociedad de Fútbol,Real_Sociedad_logo.svg,4-3-3,#143C8B
La Liga,Sevilla,Sevilla FC,Sevilla_FC_logo.svg,4-2-3-1,#D90D2E
La Liga,Valencia,Valencia CF,Valenciacf.svg,4-4-2,#FFFFFF
La Liga,Valladolid,Real Valladolid|Real Valladolid CF,Real_Valladolid_logo.svg,4-2-3-1,#A6228B
La Liga,Villarreal,Villarreal CF,Villarreal_CF_logo-en.svg,4-4-2,#FFE667
Bundesliga,Augsburg,FC Augsburg|FC Augsburg 1907,Logo_FC_Augsburg.svg,4-2-3-1,#BA3733
Bundesliga,Bayern Munich,FC Bayern München|Bayern|Bayern Munchen,FC_Bayern_München_logo_(2017).svg,4-2-3-1,#DC052D
Bundesliga,Bochum,VfL Bochum,VfL_Bochum_logo.svg,4-2-3-1,#005CA9
